 i tirsdags	2458
 i torsdags	2459
-agtigt	266
-bakke	609
-behandler	1843
-borg	244
-hed	1712
-idiot	1159
-inde	83
-kasse	609
-kollegium	111
-løs	263
-mester	497
-passer	1248
-posten	312
-s	77;1365;1711
-side	1791
-sikring	533;2958
-værk	948
filme	310
filter	1154
fin	600;600;600;1065
finans-	360
finansiere	659
finde	146
finde interessant	709
finde på	176
finde sig i	639
finde sjovt	709
finde spændende	709
finde sted	81
finde ud af	69;737;760;1837
findes	69
findes (eksistere)	824
finger	1998
finne	1501
finsk	1501
fint	268
fire	1165
fire dage efter	1439
fire dage før	1436
fire dage inden	1436
fire dage senere	1439
fire hundrede	1534
fire måneder	1350
fire timer	1472
fire år	1442
fireogfirs	1550
fireogfyrre	1490
fireoghalvfems	1551
fireoghalvfjerds	1552
fireoghalvtreds	1553
fireogtredive	1554
fireogtres	1555
fireogtyve	1485;1486
firewall	1077803;1103002
firkant	275;440
firkantet	275
firkantet (3-dimensional)	609
firkantet form	1844
firma	948
firs	1494
fisk	364
fiske	1078
fisker	1078
fiskeri	1078
fisse	3177;3178
fjeld	1032
fjende	535;561
fjerde	1165
fjerde etage	1277
fjerde sal	1277
fjerkræ	358
fjern	127
fjernbetjening (f.eks. til en legetøjsbil)	1414
fjerne	179;1459
fjernstyre noget	1414
fjernsyn	869;2065
fjols	1159
fjord	1303
fjorten	1416;1435
fjæs	3102
flad	783
flad fornemmelse	3003
fladfisk	1935
flag	518
flage	518
flamme	778;778
flaske	986;2931
fleksibel	1124
flere	680;749
flest	680
flink	540
flip	1992
flirte	1338
flise	440
flittig	991
flod	1303
flodhest	3109
flok	111
flot	223;821;1120
flov	414
flue	1968
flugt	1214
fly	1163
flygte	1214
flygtning	1214
flynder	1935
flytte	733;1268;3097
flyve	1147;1163
flyve (om insekt)	1968
flyvemaskine	1163
fløde	1895;1896
flødebolle	1947
flødeis	1212
flødeskum	1899
fod	1385;1386;1386
fodbold	2952
foder	181;301
fodled	3126
